Symbol,Sector
CLSK,Technology
CLSN,Health Care
CLVR,Health Care
CLVRW,Health Care
CLVS,Health Care
CLVT,Technology
CLW,Basic Industries
CLWT,Consumer Durables
CLX,Consumer Durables
CLXT,Basic Industries
CM,Finance
CMA,Finance
CMBM,Technology
CMC,Basic Industries
CMCL,Basic Industries
CMCM,Technology
CMCO,Capital Goods
CMCSA,Consumer Services
CMCT,Consumer Services
CMCTP,Consumer Services
CMD,Health Care
CME,Finance
CMFNL,
CMG,Consumer Services
CMI,Energy
CMIIU,
CMLF,Finance
CMLFU,Finance
CMLFW,Finance
CMLS,Consumer Services
CMO,Consumer Services
CMO^E,
CMP,Basic Industries
CMPI,Health Care
CMPR,Miscellaneous
CMPS,Health Care
CMRE,Transportation
CMRE^B,
CMRE^C,
CMRE^D,
CMRE^E,
CMRX,Health Care
CMS,Public Utilities
CMS^B,Public Utilities
CMSA,Public Utilities
CMSC,Public Utilities
CMSD,Public Utilities
CMT,Consumer Non-Durables
CMTL,Technology
CMU,
CNA,Finance
CNBKA,Finance
CNC,Health Care
CNCE,Health Care
CND,Finance
CNDT,Miscellaneous
CNET,Technology
CNEY,Basic Industries
CNF,Finance
CNFR,Finance
CNFRL,Finance
CNHI,Capital Goods
CNI,Transportation
CNK,Consumer Services
CNMD,Health Care
CNNB,Finance
CNNE,Consumer Services
CNO,Finance
CNO^A,
CNOB,Finance
CNP,Public Utilities
CNP^B,
CNQ,Energy
CNR,Capital Goods
CNS,Finance
CNSL,Public Utilities
CNSP,Health Care
CNST,Health Care
CNTG,Health Care
CNTY,Consumer Services
CNX,Energy
CNXC,Miscellaneous
CNXN,Consumer Services
CO,Health Care
COCP,Health Care
CODA,Capital Goods
CODI,Consumer Durables
CODI^A,
CODI^B,
CODI^C,
CODX,Health Care
COE,Consumer Services
COF,Finance
COF^G,
COF^H,
COF^I,
COF^J,
COF^K,
COFS,Finance
COG,Energy
COGT,Health Care
COHN,Finance
COHR,Capital Goods
COHU,Capital Goods
COKE,Consumer Non-Durables
COLB,Finance
COLD,Consumer Services
COLIU,
COLL,Health Care
COLM,Consumer Non-Durables
COMM,Technology
COMS,Capital Goods
COMSW,Capital Goods
CONE,Consumer Services
CONN,Consumer Services
CONX,Finance
CONXU,Finance
CONXW,Finance
COO,Health Care
COOL,Finance
COOLU,Finance
COOLW,Finance
COOP,Finance
COP,Energy
COR,Consumer Services
CORE,Consumer Non-Durables
CORR,Consumer Services
CORR^A,
CORT,Health Care
COST,Consumer Services
COTY,Consumer Non-Durables
COUP,Technology
COVAU,Finance
COWN,Finance
COWNL,Finance
COWNZ,Finance
CP,Transportation
CPA,Transportation
CPAC,Capital Goods
CPAH,Technology
CPB,Consumer Non-Durables
CPE,Energy
CPF,Finance
CPG,Energy
CPHC,Consumer Services
CPHI,Health Care
CPIX,Health Care
CPK,Public Utilities
CPLG,Consumer Services
CPLP,Transportation
CPRI,Consumer Non-Durables
CPRT,Consumer Durables
CPRX,Health Care
CPS,Capital Goods
CPSH,Capital Goods
CPSI,Technology
CPSR,Finance
CPSS,Finance
CPST,Energy
CPT,Consumer Services
CPTA,
CPTAG,
CPTAL,
CPZ,
CQP,Public Utilities
CR,Capital Goods
CRAI,Miscellaneous
CRBP,Health Care
CRC,Energy
CRD/A,
CRD/B,
CRDF,Health Care
CREE,Technology
CREG,Miscellaneous
CRESY,Finance
CREX,Technology
CREXW,Technology
CRF,
CRH,Capital Goods
CRHC,Finance
CRHM,Health Care
CRI,Consumer Non-Durables
CRIS,Health Care
CRK,Energy
CRKN,Capital Goods
CRL,Health Care
CRM,Technology
CRMD,Health Care
CRMT,Consumer Durables
CRNC,Technology
CRNT,Technology
CRNX,Health Care
CRON,Consumer Durables
CROX,Consumer Non-Durables
CRS,Basic Industries
CRSA,Consumer Services
CRSAU,Consumer Services
CRSAW,Consumer Services
CRSP,Health Care
CRSR,Technology
CRT,Energy
CRTD,Consumer Services
CRTDW,Consumer Services
CRTO,Technology
CRTX,Health Care
CRU,
CRUS,Technology
CRVL,Finance
CRVS,Health Care
CRWD,Technology
CRWS,Basic Industries
CRY,Health Care
CS,Finance
CSBR,Health Care
CSCO,Technology
CSCW,Basic Industries
CSGP,Miscellaneous
CSGS,Technology
CSII,Health Care
CSIQ,Technology
CSL,Basic Industries
CSLT,Technology
CSOD,Technology
CSPI,Technology
CSPR,Consumer Durables
CSQ,
CSR,
CSR^C,
CSSE,Consumer Services
CSSEN,Consumer Services
CSSEP,Consumer Services
CSTE,Capital Goods
CSTL,Health Care
CSTM,Basic Industries
CSTR,Finance
CSU,Health Care
CSV,Consumer Services
CSWC,Consumer Non-Durables
CSWI,Basic Industries
CSX,Transportation
CTA^A,
CTA^B,
CTAC,Finance
CTAQ,Finance
CTAQU,Finance
CTAQW,Finance
CTAS,Consumer Non-Durables
CTB,Consumer Durables
CTBB,Public Utilities
CTBI,Finance
CTDD,Public Utilities
CTEK,Miscellaneous
CTG,Technology
CTHR,Consumer Durables
CTIB,Basic Industries
CTIC,Health Care
CTK,Technology
CTLT,Health Care
CTMX,Health Care
CTO,Finance
CTR,
CTRE,Consumer Services
CTRM,Transportation
CTRN,Consumer Services
CTS,Technology
CTSH,Technology
CTSO,Health Care
CTT,Consumer Services
CTVA,Consumer Non-Durables
CTXR,Health Care
CTXRW,Health Care
CTXS,Technology
CUB,Capital Goods
CUBA,
CUBB,Finance
CUBE,Consumer Services
CUBI,Finance
CUBI^C,
CUBI^D,
CUBI^E,
CUBI^F,
CUE,Health Care
CUEN,Consumer Non-Durables
CUENW,Consumer Non-Durables
CUK,Consumer Services
CULP,Basic Industries
CURI,Consumer Services
CURIW,Consumer Services
CURO,Finance
CUTR,Health Care
CUZ,Consumer Services
CVA,Basic Industries
CVAC,Health Care
CVBF,Finance
CVCO,Basic Industries
CVCY,Finance
CVE,Energy
CVEO,Consumer Services
CVET,Health Care
CVGI,Capital Goods
CVGW,Consumer Non-Durables
CVI,Energy
CVLG,Transportation
CVLT,Technology
CVLY,Finance
CVM,Health Care
CVNA,Consumer Durables
CVR,Technology
CVS,Health Care
CVU,Capital Goods
CVV,Technology
CVX,Energy
CW,Technology
CWBC,Finance
CWBR,Health Care
CWCO,Public Utilities
CWEN,Public Utilities
CWH,Consumer Durables
CWK,Finance
CWST,Public Utilities
CWT,Public Utilities
CX,Capital Goods
CXDC,Capital Goods
CXDO,Public Utilities
CXE,
CXH,
CXP,Consumer Services
CXW,Consumer Services
CYAD,Health Care
CYAN,Consumer Durables
CYBE,Capital Goods
CYBR,Technology
CYCC,Health Care
CYCCP,Health Care
CYCN,Health Care
CYD,Energy
CYH,Health Care
CYRN,Technology
CYRX,Health Care
CYTH,Basic Industries
CYTHW,Basic Industries
CYTK,Health Care
CZNC,Finance
CZR,Consumer Services
CZWI,Finance
CZZ,Consumer Non-Durables
D,Public Utilities
DAC,Transportation
DADA,Technology
DAIO,Capital Goods
DAKT,Consumer Durables
DAL,Transportation
DAN,Capital Goods
DAO,Consumer Services
DAR,Consumer Non-Durables
DARE,Health Care
DASH,Miscellaneous
DAUG,
DAVA,Technology
DB,Finance
DBD,Miscellaneous
DBDR,Finance
DBDRU,Finance
DBDRW,Finance
DBI,Consumer Services
DBL,
DBOC,
DBTX,Health Care
DBVT,Health Care
DBX,Technology
DCBO,Technology
DCF,
DCI,Capital Goods
DCO,Capital Goods
DCOM,Finance
DCOMP,Finance
DCP,Public Utilities
DCP^B,
DCP^C,
DCPH,Health Care
DCRB,Finance
DCRBU,Finance
DCRBW,Finance
DCRNU,Finance
DCT,Technology
DCTH,Health Care
DCUE,Public Utilities
DD,Basic Industries
DDD,Technology
DDEC,
DDF,
DDMX,Finance
DDMXU,Finance
DDMXW,Finance
DDOG,Technology
DDS,Consumer Services
DDT,Consumer Services
DE,Capital Goods
DEA,Consumer Services
DECK,Consumer Non-Durables
DEFN,
DEH,Finance
DEI,Consumer Services
DELL,Technology
DEN,Energy
DENN,Consumer Services
DEO,Consumer Non-Durables
DESP,Consumer Services
DEX,
DFEB,
DFFN,Health Care
DFH,Capital Goods
DFHT,Health Care
DFHTU,Health Care
DFHTW,Health Care
DFHY,
DFIN,Consumer Services
DFNS,Finance
DFNV,
DFP,
DFPH,Finance
DFPHU,Finance
DFPHW,Finance
DFS,Finance
DG,Consumer Services
DGICA,Finance
DGICB,Finance
DGII,Technology
DGLY,Technology
DGNR,Finance
DGNS,Finance
DGX,Health Care
DHC,Consumer Services
DHCNI,Consumer Services
DHCNL,Consumer Services
DHF,
DHHCU,Finance
DHI,Capital Goods
DHIL,Finance
DHR,Capital Goods
DHR^A,
DHR^B,
DHT,Transportation
DHX,Miscellaneous
DHY,
DIAX,
DIN,Consumer Services
DIOD,Technology
DIS,Consumer Services
DISCA,Consumer Services
DISCB,Consumer Services
DISCK,Consumer Services
DISH,Consumer Services
DIT,Consumer Non-Durables
DJAN,
DJCO,Consumer Services
DJUL,
DJUN,
DK,Energy
DKL,Energy
DKNG,Consumer Services
DKS,Consumer Services
DL,Consumer Services
DLA,Consumer Non-Durables
DLB,Miscellaneous
DLCAU,Finance
DLHC,Technology
DLNG,Consumer Services
DLNG^A,
DLNG^B,
DLPN,Consumer Services
DLR,Consumer Services
DLR^C,
DLR^J,
DLR^K,
DLR^L,
DLTH,Consumer Services
DLTR,Consumer Services
DLX,Consumer Durables
DLY,
DM,Technology
DMAC,Health Care
DMAY,
DMB,
DMF,
DMLP,Energy
DMO,
DMRC,Technology
DMS,Miscellaneous
DMTK,Health Care
DMYD,Finance
DMYI,Finance
DNB,Finance
DNK,Consumer Services
DNLI,Health Care
DNMR,Basic Industries
DNN,Basic Industries
DNOV,
DNOW,Energy
DNP,
DOC,Consumer Services
DOCT,
DOCU,Technology
DOGZ,Consumer Durables
DOMO,Technology
DOOO,Capital Goods
DOOR,Basic Industries
DORM,Capital Goods
DOV,Technology
DOW,Basic Industries
DOX,Technology
DOYU,Technology
DPG,
DPW,Capital Goods
DPZ,Consumer Non-Durables
DQ,Technology
DRD,Basic Industries
DRE,Consumer Services
DRH,Consumer Services
DRH^A,
DRI,Consumer Services
DRIO,Health Care
DRIOW,Health Care
DRNA,Health Care
DRQ,Energy
DRRX,Health Care
DRTT,Technology
DRUA,Public Utilities
DRVN,Consumer Services
DS,Consumer Services
DS^B,
DS^C,
DS^D,
DSAC,Finance
DSACU,Finance
DSACW,Finance
DSE,
DSEP,
DSGX,Technology
DSKE,Consumer Services
DSKEW,Consumer Services
DSL,
DSM,
DSOC,
DSP,Technology
DSPG,Technology
DSS,Consumer Durables
DSSI,Consumer Services
DSU,
DSWL,Consumer Non-Durables
DSX,Transportation
DSX^B,
DT,Technology
DTB,Public Utilities
DTE,Public Utilities
DTEA,Consumer Non-Durables
DTF,
DTIL,Health Care
DTJ,Public Utilities
DTLA^,
DTP,Public Utilities
DTSS,Technology
DTW,Public Utilities
DTY,Public Utilities
DUC,
DUDE,
DUK,Public Utilities
DUK^A,Public Utilities
DUKB,Public Utilities
DUKH,Public Utilities
DUNE,Finance
DUNEU,Finance
DUNEW,Finance
DUO,Finance
DUOT,Technology
DVA,Health Care
DVAX,Health Care
DVD,Consumer Services
DVN,Energy
DWIN,Finance
DWSN,Energy
DX,Consumer Services
DX^C,
DXC,Technology
DXCM,Health Care
DXF,Finance
DXPE,Capital Goods
DXR,Health Care
DXYN,Consumer Durables
DY,Basic Industries
DYAI,Health Care
DYFN,
DYN,Health Care
DYNT,Health Care
DZSI,Public Utilities
E,Energy
EA,Technology
EACPU,Finance
EAD,
EAF,Energy
EAI,Public Utilities
EAR,Health Care
EARN,Consumer Services
EARS,Health Care
EAST,Consumer Non-Durables
EAT,Consumer Services
EB,Technology
EBAY,Miscellaneous
EBAYL,Miscellaneous
EBC,Finance
EBF,Consumer Services
EBIX,Technology
EBMT,Finance
EBON,Technology
EBR,Public Utilities
EBS,Health Care
EBSB,Finance
EBTC,Finance
EC,Energy
ECC           ,
ECCB,
ECCX,
ECCY,
ECF,
ECF^A,
ECHO,Transportation
ECL,Basic Industries
ECOL,Public Utilities
ECOM          ,Technology
ECOR,Health Care
ECPG,Finance
ED,Public Utilities
EDAP,Health Care
EDD,
EDF,
EDI,
EDIT,Health Care
EDN,Public Utilities
EDRY,Consumer Services
EDSA,Health Care
EDTK,Consumer Services
EDTX,Finance
EDTXU,Finance
EDTXW,Finance
EDU,Consumer Services
EDUC,Consumer Durables
EEA,
EEFT,Finance
EEX,Miscellaneous
EFC,Finance
EFC^A,
EFF,
EFL,
EFOI,Consumer Durables
EFR,
EFSC,Finance
EFT,
EFX,Finance
EGAN,Technology
EGBN,Finance
EGF,
EGHT,Technology
EGIS,
EGLE,Transportation
EGO,Basic Industries
EGOV,Miscellaneous
EGP,Consumer Services
EGRX,Health Care
EGY,Energy
EH,Capital Goods
EHC,Health Care
EHI,
EHT,
EHTH,Finance
EIC,
EIG,Finance
EIGR,Health Care
EIM,
EIX,Public Utilities
EJFAU,
EKSO,Capital Goods
EL,Consumer Non-Durables
ELA,Consumer Services
ELAN,Health Care
ELAT,Health Care
ELC,Public Utilities
ELDN,Health Care
ELF,Consumer Non-Durables
ELLO,Public Utilities
ELMD,Health Care
ELOX,Health Care
ELP,Public Utilities
ELS,Consumer Services
ELSE,Capital Goods
ELTK,Technology
ELVT,Finance
ELY,Consumer Non-Durables
ELYS,Technology
EMAN,Technology
EMCF,Finance
EMD,
EME,Capital Goods
EMF,
EMKR,Technology
EML,Capital Goods
EMN,Basic Industries
EMO,
EMP,Public Utilities
EMPW,Finance
EMR,Energy
EMX,Basic Industries
ENB,Energy
ENBA,Energy
ENBL,Public Utilities
ENDP,Health Care
ENFAU,Finance
ENG,Consumer Services
ENIA,Public Utilities
ENIC,Public Utilities
ENJ,Public Utilities
ENLC,Public Utilities
ENLV,Health Care
ENNVU,Finance
ENO,Public Utilities
ENOB,Health Care
ENPC,Finance
ENPH,Technology
ENR,Miscellaneous
ENR^A,
ENS,Miscellaneous
ENSG,Health Care
ENSV,Energy
ENTA,Health Care
ENTG,Consumer Non-Durables
ENTX,Health Care
ENTXW,Health Care
ENV,Miscellaneous
ENVA,Finance
ENVB,Technology
ENVIU,Finance
ENX,
ENZ,Health Care
EOD,
EOG,Energy
EOI,
EOLS,Health Care
EOS,
EOSE,Miscellaneous
EOSEW,Miscellaneous
EOT,
EP^C,Public Utilities
EPAC,Technology
EPAM,Technology
EPAY,Technology
EPC,Consumer Non-Durables
EPD,Public Utilities
EPHYU,Finance
EPIX,Health Care
EPM,Energy
EPR,Consumer Services
EPR^C,
EPR^E,
EPR^G,
EPRT,Consumer Services
EPSN,Energy
EPZM,Health Care
EQ,Health Care
EQBK,Finance
EQC,Consumer Services
EQC^D,
EQD,Finance
EQH,Finance
EQH^A,
EQH^C,
EQIX,Consumer Services
EQNR,Energy
EQOS,Finance
EQOSW,Finance
EQR,Consumer Services
EQS,
EQT,Energy
EQX,Basic Industries
ERC,
ERES,Finance
ERESU,Finance
ERESW,Finance
ERF,Energy
ERH,
ERIC,Technology
ERIE,Finance
ERII,Technology
ERJ,Capital Goods
ERYP,Health Care
ES,Public Utilities
ESBK,Finance
ESCA,Consumer Non-Durables
ESE,Capital Goods
ESEA,Transportation
ESGC,Consumer Services
ESGR,Finance
ESGRO,Finance
ESGRP,Finance
ESI,Basic Industries
ESLT,Capital Goods
ESNT,Finance
ESP,Capital Goods
ESPR,Health Care
ESQ,Finance
ESRT,Consumer Services
ESS,Consumer Services
ESSA,Finance
ESSC,Technology
ESSCR,Technology
ESSCU,Technology
ESSCW,Technology
ESTA,Health Care
ESTC,Technology
ESTE,Energy
ESXB,Finance
ET,Public Utilities
ETAC,Finance
ETACU,Finance
ETACW,Finance
ETB,
ETG,
ETH,Consumer Durables
ETI^,
ETJ,
ETM,Consumer Services
ETN,Technology
ETNB,Health Care
ETO,
ETON,Health Care
ETP^C,
ETP^D,
ETP^E,
ETR,Public Utilities
ETRN,Public Utilities
ETSY,Miscellaneous
ETTX,Health Care
ETV,
ETW,
ETWO,Technology
ETX           ,
ETY,
EUCG,
EUCR,Finance
EUCRU,Finance
EUCRW,Finance
EURN,Transportation
EUSGU,Finance
EV,Finance
EVA,Basic Industries
EVAX,
EVBG,Technology
EVBN,Finance
EVC,Consumer Services
EVER,Technology
EVF,
EVFM,Health Care
EVG,
EVGN,Basic Industries
EVH,Consumer Services
EVI,Consumer Services
EVK,Consumer Non-Durables
EVLO,Health Care
EVM,
EVN,
EVOJU,Finance
EVOK,Health Care
EVOL,Technology
EVOP,Miscellaneous
EVR,Finance
EVRG,Public Utilities
EVRI,Consumer Services
EVT,
EVTC,Technology
EVV,
EVY,
EW,Health Care
EWBC,Finance
EXAS,Health Care
EXC,Public Utilities
EXD,
EXEL,Health Care
EXFO,Capital Goods
EXG,
EXK,Basic Industries
EXLS,Miscellaneous
EXN,Basic Industries
EXP,Capital Goods
EXPC,Miscellaneous
EXPCU,Miscellaneous
EXPCW,Miscellaneous
EXPD,Transportation
EXPE,Consumer Services
EXPI,Finance
EXPO,Consumer Services
EXPR,Consumer Services
EXR,Consumer Services
EXTN,Technology
EXTR,Technology
EYE,Health Care
EYEG,Health Care
EYEN,Health Care
EYES,Health Care
EYESW,Health Care
EYPT,Capital Goods
EZGO,Consumer Non-Durables
EZPW,Consumer Services
F,Capital Goods
F^B,
F^C,
FAF,Finance
FAII,Finance
FAM,
FAMI,Consumer Non-Durables
FANG,Energy
FANH,Finance
FARM,Consumer Non-Durables
FARO,Capital Goods
FAST,Consumer Services
FAT,Consumer Services
FATBP,Consumer Services
FATBW,Consumer Services
FATE,Health Care
FAUG,
FAX,
FB,Technology
FBC,Finance
FBHS,Basic Industries
FBIO,Health Care
FBIOP,Health Care
FBIZ,Finance
FBK,Finance
FBMS,Finance
FBNC,Finance
FBP,Finance
FBRX,Health Care
FBSS,Finance
FC,Consumer Services
FCAC,Health Care
FCACU,Health Care
FCACW,Health Care
FCAP,Finance
FCBC,Finance
FCBP,Finance
FCCO,Finance
FCCY,Finance
FCEL,Miscellaneous
FCF,Finance
FCFS,Consumer Services
FCN,Consumer Services
FCNCA,Finance
FCNCP,Finance
FCO,
FCPT,Consumer Services
FCRD,
FCRW,
FCRZ,
FCT,
FCX,Basic Industries
FDBC,Finance
FDEC,
FDEU,
FDG,
FDMT,Health Care
FDP,Consumer Non-Durables
FDS,Technology
FDUS,
FDUSG,
FDUSZ,
FDX,Transportation
FE,Public Utilities
FEDU,Consumer Services
FEDX,
FEI           ,
FEIM,Capital Goods
FELE,Consumer Durables
FEN,
FENC,Health Care
FENG,Consumer Services
FEO,
FET,Energy
FEYE,Technology
FF,Basic Industries
FFA,
FFBC,Finance
FFBW,Finance
FFC,
FFEB,
FFG,Finance
FFHL,Capital Goods
FFIC,Finance
FFIN,Finance
FFIV,Technology
FFNW,Finance
FFWM,Finance
FGB,
FGBI,Finance
FGEN,Health Care
FGF,Finance
FGFPP,Finance
FGNA,Finance
FGRO,
FHB,Finance
FHI,Finance
FHN,Finance
FHN^A,
FHN^B,
FHN^C,
FHN^D,
FHN^E,
FHTX,Health Care
FI,Energy
FIBK,Finance
FICO,Miscellaneous
FIF,
FIII,Finance
FIIIU,Finance
FIIIW,Finance
FINMU,Finance
FINS,
FINV,Finance
FIS,Miscellaneous
FISI,Finance
FISV,Technology
FITB,Finance
FITBI,Finance
FITBO,Finance
FITBP,Finance
FIV,
FIVE,Consumer Services
FIVN,Technology
FIX,Capital Goods
FIXX,Health Care
FIZZ,Consumer Non-Durables
FJAN,
FJUL,
FJUN,
FL,Consumer Services
FLAC,Finance
FLACU,Finance
FLACW,Finance
FLC,
FLDM,Capital Goods
FLEX,Technology
FLGT,Health Care
FLIC,Finance
FLIR,Capital Goods
FLL,Consumer Services
FLMN,Energy
FLMNW,Energy
FLNG,Consumer Services
FLNT,Consumer Services
FLO,Consumer Non-Durables
FLOW,Technology
FLR,Basic Industries
FLS,Capital Goods
FLT,Miscellaneous
FLUX,Miscellaneous
FLV,
FLWS,Consumer Services
FLXN,Health Care
FLXS,Consumer Durables
FLY,
FMAC,Finance
FMAG,
FMAO,Finance
FMAY,
FMBH,Finance
FMBI,Finance
FMBIO,Finance
FMBIP,Finance
FMC,Basic Industries
FMN,
FMNB,Finance
FMO,
FMS,Health Care
FMTX,Health Care
FMX,Consumer Non-Durables
FMY,
FN,Public Utilities
FNB,Finance
FNB^E,
FNCB,Finance
FND,Consumer Services
FNF,Finance
FNHC,Finance
FNKO,Consumer Non-Durables
FNLC,Finance
FNOV,
FNV,Basic Industries
FNWB,Finance
FOCS,Finance
FOCT,
FOE,Basic Industries
FOF,
FOLD,Health Care
FONR,Health Care
FOR,Finance
FORD,Consumer Non-Durables
FOREU,Finance
FORM,Technology
FORR,Consumer Services
FORTY,Technology
FOSL,Consumer Non-Durables
FOUR,Miscellaneous
FOX,Consumer Services
FOXA,Consumer Services
FOXF,Consumer Non-Durables
FOXW,
FOXWU,Finance
FOXWW,
FPAC,Finance
FPAY,Technology
FPF,
FPH,Finance
FPI,Consumer Services
FPI^B,
FPL,
FPRO,
FPRX,Health Care
FR,Consumer Services
FRA,
FRAF,Finance
FRBA,
FRBK,Finance
FRC,
FRC^G,
FRC^H,
FRC^I,
FRC^J,
FRC^K,
FRC^L,
FRD,Capital Goods
FREE,Consumer Non-Durables
FREEW,Consumer Non-Durables
FREQ,Health Care
FRG,Miscellaneous
FRGAP,
FRGI,Consumer Services
FRHC,Finance
FRLN,Health Care
FRME,Finance
FRO,Transportation
FROG,Technology
FRPH,Finance
FRPT,Consumer Non-Durables
FRSX,Technology
FRT,Consumer Services
FRT^C,
FRTA,Capital Goods
FRX,Finance
FSBW,Finance
FSD,
FSEA,Finance
FSEP,
FSFG,Finance
FSI,Basic Industries
FSII,Finance
FSK,
FSKR,
FSLF,
FSLR,Technology
FSLY,Technology
FSM,Basic Industries
FSMO,
FSP,Consumer Services
FSR,Capital Goods
FSRV,Technology
FSRVU,Technology
FSRVW,Technology
FSRXU,Finance
FSS,Capital Goods
FSSIU,Finance
FST,Finance
FSTR,Basic Industries
FSTX,Health Care
FSV,Finance
FT,
FTAAU,Finance
FTAI,
FTAI^A,
FTAI^B,
FTCH,Miscellaneous
FTCV,Finance
FTCVU,Finance
FTCVW,Finance
FTDR,Finance
FTEK,Capital Goods
FTF,
FTFT,Miscellaneous
FTHM,Finance
FTHY,
FTI,Energy
FTIV,Finance
FTIVU,Finance
FTIVW,Finance
FTK,Basic Industries
FTNT,Technology
FTOC,Finance
FTOCU,Finance
FTOCW,Finance
FTS,Public Utilities
FTSI,Energy
FTV,Capital Goods
FTV^A,
FUBO,Consumer Services
FUL,Basic Industries
FULC,Health Care
FULT,Finance
FULTP,Finance
FUN,Consumer Services
FUNC,Finance
FUND,Consumer Services
FUNL,
FURY,Basic Industries
FUSB,Finance
FUSE,Finance
FUSN,Health Care
FUTU,Finance
FUV,Consumer Non-Durables
FVAM,Finance
FVCB,Finance
FVE,Health Care
FVRR,Miscellaneous
FVT,
FWAA,Finance
FWONA,Consumer Services
FWONK,Consumer Services
FWP,Health Care
FWRD,Transportation
FXNC,Finance
G,Consumer Services
GAB,
GAB^G,
GAB^H,
GAB^J,
GAB^K,
GABC,Finance
GAIA,Consumer Services
GAIN,
GAINL,
GAINM,
GALT,Health Care
GAM,
GAM^B,
GAN,Technology
GASS,Transportation
GATO,Basic Industries
GATX,Consumer Services
GAU,Basic Industries
GB,Technology
GBAB,
GBCI,Finance
GBDC,
GBIO,Health Care
GBL,Finance
GBLI,Finance
GBLIL,Finance
GBNY,Finance
GBOX,Consumer Services
GBR,Energy
GBS,Health Care
GBT,Health Care
GBX,Capital Goods
GCACU,Finance
GCBC,Finance
GCI,Consumer Services
GCMG,Finance
GCMGW,Finance
GCO,Consumer Services
GCP,Basic Industries
GCV,
GD,Capital Goods
GDDY,Technology
GDEN,Consumer Services
GDL,
GDL^C,
GDO,
GDOT,Finance
GDP,Energy
GDRX,Technology
GDS,Technology
GDV,
GDV^G,
GDV^H,
GDYN,Technology
GDYNW,Technology
GE,Energy
GECC,
GECCL,
GECCM,
GECCN,
GEF,
GEG,Technology
GEL,Energy
GEN           ,Health Care
GENC,Capital Goods
GENE,Health Care
GEO,Consumer Services
GEOS,Capital Goods
GER,
GERN,Health Care
GES,Consumer Non-Durables
GEVO,Basic Industries
GF,
GFED,Finance
GFF,Capital Goods
GFI,Basic Industries
GFL,Public Utilities
GFLU,Public Utilities
GFN,Technology
GFNCP,Technology
GFNSZ,Technology
GFX,Finance
GGAL,Finance
GGB,Capital Goods
GGG,Capital Goods
GGM,
GGN,
GGN^B,
GGO^A,
GGT,
GGT^E,
GGT^G,
GGZ,
GGZ^A,
GH,Health Care
GHACU,Finance
GHC,Consumer Services
GHG,Consumer Services
GHL,Finance
GHLD,Finance
GHM,Technology
GHSI,Health Care
GHVI,Finance
GHVIU,Finance
GHVIW,Finance
GHY,
GIB,Consumer Services
GIFI,Capital Goods
GIGGU,Finance
GIGM,Technology
GIII,Consumer Non-Durables
GIIXU,Finance
GIK,Capital Goods
GIL,Consumer Non-Durables
GILD,Health Care
GILT,Technology
GIM,
GIS,Consumer Non-Durables
GIX,Finance
GJH,Finance
GJO,Finance
GJP,
GJS,Finance
GJT,Finance
GKOS,Health Care
GL,Finance
GL^C,
GLAD,Consumer Non-Durables
GLADL,Consumer Non-Durables
GLAQ,Finance
GLAQU,Finance
GLAQW,Finance
GLBLU,
GLBS,Transportation
GLBZ,Finance
GLDD,Basic Industries
GLDG,Basic Industries
GLEO,Finance
GLG,Finance
GLMD,Health Care
GLNG,Consumer Services
GLO,
GLOB,Technology
GLOG,Consumer Services
GLOG^A,
GLOP,Consumer Services
GLOP^A,
GLOP^B,
GLOP^C,
GLP,Energy
GLP^A,
GLPG,Health Care
GLPI,Consumer Services
GLQ,
GLRE,Finance
GLSI,Health Care
GLT,Basic Industries
GLTO,Health Care
GLU,
GLU^A,
GLU^B,
GLUU,Technology
GLV,
GLW,Basic Industries
GLYC,Health Care
GM,Capital Goods
GMAB,Health Care
GMBL,Consumer Services
GMBLW,Consumer Services
GMBTU,Finance
GMDA,Health Care
GME,Consumer Services
GMED,Health Care
GMIIU,Finance
GMLP,Consumer Services
GMLPP,Consumer Services
GMRE,Consumer Services
GMRE^A,
GMS,Consumer Services
GMTA,Consumer Services
GMTX,Health Care
GNACU,Finance
GNCA,Health Care
GNE,Public Utilities
GNE^A,
GNFT,Health Care
GNK,Transportation
GNL,Consumer Services
GNL^A,
GNL^B,
GNLN,Capital Goods
GNMK,Health Care
GNOG,Technology
GNOGW,Technology
GNPK,Finance
GNPX,Health Care
GNRC,Consumer Durables
GNRS,Finance
GNRSU,Finance
GNRSW,Finance
GNSS,Consumer Non-Durables
GNT,
GNT^A,
GNTX,Capital Goods
GNTY,Finance
GNUS,Consumer Services
GNW,Finance
GO,Consumer Services
GOAC,Finance
GOCO,Finance
GOED,Consumer Services
GOEV,Capital Goods
GOEVW,Capital Goods
GOF,
GOGL,Consumer Services
GOGO,Consumer Services
GOL,Transportation
GOLD,Basic Industries
GOLF,Consumer Non-Durables
GOOD,Consumer Services
GOODM,Consumer Services
GOODN,Consumer Services
GOOG,Technology
GOOGL,Technology
GOOS,Consumer Non-Durables
GORO,Basic Industries
GOSS,Health Care
GOVX,Health Care
GOVXW,Health Care
GOVZ,
GP,Capital Goods
GPACU,Finance
GPC,Capital Goods
GPI,Consumer Durables
GPJA,Public Utilities
GPK,Consumer Durables
GPL,Basic Industries
GPM,
GPMT,Consumer Services
GPN,Miscellaneous
GPP,Basic Industries
GPRE,Basic Industries
GPRK,Energy
GPRO,Miscellaneous
GPS,Consumer Services
GPX,Consumer Services
GRA,Basic Industries
GRAY,Health Care
